Departure,Return,Departure station id,Departure station name,Return station id,Return station name,Covered distance (m),Duration (sec.)
2021-05-31T23:43:05,2021-05-31T23:56:16,090,Paciuksenkaari,072,Eteläinen Hesperiankatu,2779,787
2021-05-31T23:41:33,2021-06-01T00:06:01,030,Itämerentori,019,Rautatientori / itä,2964,1464
2021-05-31T23:40:50,2021-05-31T23:43:16,004,Viiskulma,003,Kapteeninpuistikko,565,145
2021-05-31T23:40:48,2021-05-31T23:55:06,703,Elfvik,725,Rummunlyöjänkatu,2787,853
2021-05-31T23:39:12,2021-05-31T23:45:44,043,Karhupuisto,115,Venttiilikuja,1491,390
2021-05-27T12:50:49,2021-05-27T12:59:05,541,"Aalto-yliopisto (M), Korkeakouluaukio",521,Kulttuuriaukio,1815,491
2021-05-27T12:50:30,2021-05-27T12:56:44,077,Nordenskiöldinaukio,083,Meilahden sairaala,845,369
2021-05-27T12:50:27,2021-05-27T12:53:33,036,Apollonkatu,037,Töölönkatu,404,182
2021-05-27T12:50:24,2021-05-27T12:55:08,024,Mannerheimintie,162,Leppäsuonaukio,881,280
2021-05-27T12:50:13,2021-05-27T12:55:43,123,Näkinsilta,017,Varsapuistikko,941,325
2021-05-27T12:49:58,2021-05-27T12:54:22,627,Piispansilta,613,Matinkyläntie,841,259
2021-05-27T12:49:55,2021-05-27T13:12:59,727,Ratsutori,098,Ulvilantie,4672,1379
2021-05-27T12:49:54,2021-05-27T12:54:55,004,Viiskulma,009,Erottajan aukio,784,296
2021-05-27T12:49:36,2021-05-27T13:53:20,069,Kalevankatu,069,Kalevankatu,4972,3824
2021-05-27T12:49:19,2021-05-27T12:57:09,133,Paavalinpuisto,144,Käpyläntie,2127,469
2021-05-27T12:49:03,2021-05-27T12:49:26,037,Töölönkatu,037,Töölönkatu,2,18
2021-05-27T12:49:00,2021-05-27T13:12:42,094,Laajalahden aukio,021,Töölönlahdenkatu,5162,1420
2021-05-27T12:48:57,2021-05-27T12:55:05,113,Pasilan asema,131,Elimäenkatu,1227,364
2021-05-27T12:48:41,2021-05-27T12:54:34,010,Kasarmitori,003,Kapteeninpuistikko,1031,352
2021-05-27T12:48:26,2021-05-27T12:52:39,539,"Aalto-yliopisto (M), Tietotie",555,Kalevalantie,1249,248
2021-05-27T12:48:25,2021-05-27T12:53:28,050,Melkonkuja,054,Gyldenintie,1378,299
2021-05-27T12:48:24,2021-05-27T12:51:56,713,Upseerinkatu,711,Kirjurinkuja,543,208
2021-05-27T12:48:23,2021-05-27T12:56:11,209,Takomotie,215,Pitäjänmäen asema,1199,466
2021-05-27T12:48:15,2021-05-27T12:56:11,201,Länsisatamankuja,022,Rautatientori / länsi,2848,476
2021-05-27T12:48:11,2021-05-27T13:04:17,039,Ooppera,107,Tenholantie,2834,960
2021-05-27T12:48:09,2021-05-27T12:54:39,016,Liisanpuistikko,012,Kanavaranta,833,386
2021-05-27T12:47:56,2021-05-27T12:52:27,573,Urheilupuisto (M),571,Tapiolan urheilupuisto,794,270
2021-05-27T12:47:54,2021-05-27T12:53:01,019,Rautatientori / itä,032,Eläinmuseo,696,299
2021-05-27T12:47:54,2021-05-27T12:56:04,029,Baana,065,Hernesaarenranta,1790,486
2021-05-27T12:47:43,2021-05-27T13:00:12,081,Stenbäckinkatu,026,Kamppi (M),2656,745
2021-05-27T12:47:29,2021-05-27T12:49:54,029,Baana,063,Jätkäsaarenlaituri,245,141
2021-05-27T12:47:19,2021-05-27T12:53:58,134,Haukilahdenkatu,126,Kalasatama (M),1435,394
2021-05-27T12:47:17,2021-05-27T12:50:47,573,Urheilupuisto (M),575,Tontunmäentie,612,206
2021-05-27T12:47:13,2021-05-27T13:15:56,258,Abraham Wetterin tie,029,Baana,9157,1722
2021-05-27T12:47:06,2021-05-27T12:53:26,627,Piispansilta,611,Matinkartanontie,1372,378
2021-05-27T12:47:05,2021-05-27T12:57:42,161,Eteläesplanadi,011,Unioninkatu,1061,633
2021-05-27T12:46:59,2021-05-27T12:57:39,031,Marian sairaala,021,Töölönlahdenkatu,1394,628
2021-05-27T12:46:56,2021-05-27T12:55:23,366,Tilketori,364,Ala-Malmin tori,871,504
2021-05-27T12:46:50,2021-05-27T12:49:22,026,Kamppi (M),028,Lastenlehto,472,151
2021-05-27T12:46:45,2021-05-27T12:52:41,115,Venttiilikuja,044,Sörnäinen (M),1488,352
2021-05-27T12:46:29,2021-05-27T12:52:27,126,Kalasatama (M),122,Lintulahdenkatu,1274,357
2021-05-27T12:46:25,2021-05-27T12:52:23,049,Annankatu,019,Rautatientori / itä,914,354
2021-05-27T12:46:23,2021-05-27T12:55:34,064,Tyynenmerenkatu,030,Itämerentori,1553,549
2021-05-27T12:46:18,2021-05-27T12:52:04,209,Takomotie,100,Teljäntie,1096,340
2021-05-27T12:46:14,2021-05-27T12:49:48,627,Piispansilta,619,Etuniementie,837,210
2021-05-27T12:46:12,2021-05-27T12:58:07,134,Haukilahdenkatu,116,Linnanmäki,2117,711
2021-05-27T12:46:10,2021-05-27T12:52:08,209,Takomotie,100,Teljäntie,1088,354
2021-05-27T12:46:07,2021-05-27T12:52:55,036,Apollonkatu,023,Kiasma,1141,405
2021-05-27T12:46:06,2021-05-27T12:54:02,128,Päijänteentie,045,Brahen kenttä,1155,474
2021-05-27T12:45:57,2021-05-27T12:51:05,083,Meilahden sairaala,074,Rajasaarentie,1119,305
2021-05-27T12:45:57,2021-05-27T12:50:32,144,Käpyläntie,141,Intiankatu,859,271
2021-05-27T12:45:55,2021-05-27T12:55:47,118,Fleminginkatu,111,Esterinportti,1823,588
2021-05-27T12:45:46,2021-05-27T13:10:34,113,Pasilan asema,025,Narinkka,4339,1481
2021-05-27T12:45:45,2021-05-27T12:54:00,013,Merisotilaantori,202,Merihaka,2462,494
2021-05-27T12:45:42,2021-05-27T12:58:36,149,Toinen linja,071,Hietaniemenkatu,2993,770
2021-05-27T12:45:33,2021-05-27T12:51:47,240,Viikin normaalikoulu,242,Von Daehnin katu,1135,370
2021-05-27T12:45:30,2021-05-27T12:51:52,136,Sofianlehdonkatu,137,Arabian kauppakeskus,1282,377
2021-05-27T12:45:29,2021-05-27T12:47:11,081,Stenbäckinkatu,081,Stenbäckinkatu,0,101
2021-05-27T12:45:23,2021-05-27T12:52:06,123,Näkinsilta,019,Rautatientori / itä,1580,399
2021-05-27T12:45:21,2021-05-27T12:50:11,261,Asentajanpuisto,262,Siilitie (M),1029,286
2021-05-27T12:45:21,2021-05-27T12:56:27,507,Golfpolku,621,Hauenkalliontie,2670,661
2021-05-27T12:45:18,2021-05-27T12:58:17,230,Mäkitorpantie,112,Rautatieläisenkatu,3602,775
2021-05-27T12:45:17,2021-05-27T12:59:51,029,Baana,032,Eläinmuseo,3405,874
2021-05-27T12:45:16,2021-05-27T13:07:35,017,Varsapuistikko,110,Maistraatintori,4469,1334
2021-05-27T12:45:07,2021-05-27T12:50:09,709,Yhdyskunnankuja,727,Ratsutori,1062,300
2021-05-27T12:45:06,2021-05-27T13:09:38,042,Haapaniemenkatu,030,Itämerentori,3975,1467
2021-05-27T12:44:57,2021-05-27T12:53:48,007,Designmuseo,014,Senaatintori,1002,526
2021-05-27T12:44:50,2021-05-27T12:58:03,024,Mannerheimintie,116,Linnanmäki,2791,789
2021-05-27T12:44:46,2021-05-27T12:55:52,254,Agnetankuja,262,Siilitie (M),2817,666
2021-05-27T12:44:41,2021-05-27T12:48:37,249,Isosaarentie,251,Laajasalon ostoskeskus,780,232
2021-05-27T12:44:40,2021-05-27T12:49:34,105,Tilkantori,101,Munkkivuoren ostoskeskus,1271,294
2021-05-27T12:44:39,2021-05-27T12:53:00,111,Esterinportti,131,Elimäenkatu,1417,496
2021-05-27T12:44:35,2021-05-27T12:51:31,021,Töölönlahdenkatu,004,Viiskulma,1619,412
2021-05-27T12:44:25,2021-05-27T13:03:10,114,Ratapihantie,064,Tyynenmerenkatu,5176,1121
2021-05-27T12:44:24,2021-05-27T12:52:45,040,Hakaniemi (M),076,Olympiastadion,2142,512
2021-05-27T12:44:23,2021-05-27T12:59:19,058,Lauttasaarensilta,021,Töölönlahdenkatu,3447,886
2021-05-27T12:44:14,2021-05-27T12:48:09,629,Piispanportti,619,Etuniementie,994,235
2021-05-27T12:43:52,2021-05-27T12:53:27,033,Kauppakorkeakoulu,005,Sepänkatu,2355,563
2021-05-27T12:43:47,2021-05-27T12:54:52,076,Olympiastadion,022,Rautatientori / länsi,1941,655
2021-05-27T12:43:46,2021-05-27T12:49:28,126,Kalasatama (M),120,Mäkelänkatu,835,319
2021-05-27T12:43:38,2021-05-27T12:47:34,737,Muurarinkuja,749,Vallikatu,592,232
2021-05-27T12:43:34,2021-05-27T12:51:08,011,Unioninkatu,004,Viiskulma,1259,450
2021-05-27T12:43:33,2021-05-27T12:56:18,002,Laivasillankatu,026,Kamppi (M),1997,756
2021-05-27T12:43:23,2021-05-27T12:52:58,123,Näkinsilta,124,Isoisänsilta,2109,570
2021-05-27T12:43:21,2021-05-27T12:51:19,080,Jäähalli,083,Meilahden sairaala,1161,473
2021-05-27T12:43:20,2021-05-27T12:51:18,080,Jäähalli,083,Meilahden sairaala,1327,473
2021-05-27T12:43:11,2021-05-27T12:53:49,025,Narinkka,028,Lastenlehto,815,636
2021-05-27T12:43:08,2021-05-27T12:50:45,098,Ulvilantie,098,Ulvilantie,1044,456
2021-05-27T12:43:05,2021-05-27T12:46:28,119,Gebhardinaukio,130,Teollisuuskatu,493,203
2021-05-27T12:43:01,2021-05-27T12:49:25,597,Linnakepolku,513,Hakalehto,1359,379
2021-05-27T12:43:01,2021-05-27T13:01:35,112,Rautatieläisenkatu,234,Otto Brandtin tie,4712,1109
2021-05-27T12:43:00,2021-05-27T13:01:18,087,Kustaankatu,023,Kiasma,3189,1093
2021-05-27T12:42:57,2021-05-27T13:22:56,161,Eteläesplanadi,141,Intiankatu,6565,2394
2021-05-27T12:42:56,2021-05-27T12:49:04,583,Haukilahdensolmu,591,Mellstenintie,1319,365
2021-05-27T12:42:41,2021-05-27T12:52:48,134,Haukilahdenkatu,125,Arielinkatu,1882,604
2021-05-27T12:42:32,2021-05-27T12:48:40,121,Vilhonvuorenkatu,041,Ympyrätalo,1445,364
2021-05-27T12:42:31,2021-05-27T12:47:41,236,Hernepellontie,235,Katariina Saksilaisen katu,1079,308
2021-05-27T12:42:30,2021-05-27T12:57:20,075,Korjaamo,016,Liisanpuistikko,3363,885
2021-05-27T12:42:30,2021-05-27T12:48:11,031,Marian sairaala,023,Kiasma,1121,337
2021-05-27T12:42:29,2021-05-27T12:57:48,083,Meilahden sairaala,058,Lauttasaarensilta,4486,916
2021-05-27T12:42:21,2021-05-27T12:46:21,141,Intiankatu,137,Arabian kauppakeskus,604,236
2021-05-27T12:42:19,2021-05-27T12:57:52,026,Kamppi (M),086,Kuusitie,3671,927
2021-05-27T12:42:05,2021-05-27T12:44:49,279,Puotinkylän kartano,280,Puotilan ostoskeskus,714,160
2021-05-27T12:41:59,2021-05-27T13:25:57,009,Erottajan aukio,041,Ympyrätalo,3231,1047
2021-05-27T12:41:57,2021-05-27T13:03:18,138,Arabiankatu,239,Viikin tiedepuisto,3749,1275
2021-05-27T12:41:56,2021-05-27T12:54:34,077,Nordenskiöldinaukio,019,Rautatientori / itä,2497,753
2021-05-27T12:41:53,2021-05-27T13:13:22,147,Käpylän asema,112,Rautatieläisenkatu,4569,1885
2021-05-27T12:41:49,2021-05-27T12:52:07,201,Länsisatamankuja,021,Töölönlahdenkatu,2703,613
2021-05-27T12:41:45,2021-05-27T13:03:07,138,Arabiankatu,239,Viikin tiedepuisto,3667,1275
2021-05-27T12:41:40,2021-05-27T13:01:37,141,Intiankatu,150,Töölönlahden puisto,4964,1192
2021-05-27T12:41:32,2021-05-27T12:48:45,024,Mannerheimintie,039,Ooppera,1700,431
2021-05-27T12:41:30,2021-05-27T12:52:44,028,Lastenlehto,083,Meilahden sairaala,3036,670
2021-05-27T12:41:26,2021-05-27T12:47:24,114,Ratapihantie,119,Gebhardinaukio,1196,355
2021-05-27T12:41:20,2021-05-27T12:51:38,229,Käskynhaltijantie,226,Lepolantie,2487,617
2021-05-27T12:41:16,2021-05-27T12:47:28,010,Kasarmitori,012,Kanavaranta,810,367
2021-05-27T12:41:10,2021-05-27T12:52:27,252,Humalniementie,260,Herttoniemi (M),1956,673
2021-05-27T12:41:02,2021-05-27T12:46:15,006,Hietalahdentori,030,Itämerentori,1043,309
2021-05-27T12:40:52,2021-05-27T12:49:33,086,Kuusitie,103,Vihdintie,1965,517
2021-05-27T12:40:49,2021-05-27T12:48:18,026,Kamppi (M),037,Töölönkatu,1233,444
2021-05-27T12:40:48,2021-05-27T12:48:01,031,Marian sairaala,064,Tyynenmerenkatu,1600,429
2021-05-27T12:40:34,2021-05-28T08:01:48,362,Teerisuontie,361,Huhtakuja,741,200
2021-05-27T12:40:26,2021-05-27T12:47:18,114,Ratapihantie,119,Gebhardinaukio,1254,403
2021-05-27T12:40:25,2021-05-27T12:43:13,069,Kalevankatu,026,Kamppi (M),478,162
2021-05-27T12:40:09,2021-05-27T12:48:57,010,Kasarmitori,041,Ympyrätalo,1960,524
2021-05-27T12:40:01,2021-05-27T12:48:00,086,Kuusitie,081,Stenbäckinkatu,1095,473
2021-05-27T12:40:00,2021-05-27T12:49:38,023,Kiasma,039,Ooppera,1493,576
2021-05-27T12:40:00,2021-05-27T12:53:49,031,Marian sairaala,083,Meilahden sairaala,3585,827
2021-05-27T12:40:00,2021-05-27T13:09:09,293,Korkeasaari,241,Agronominkatu,8347,1745
2021-05-27T12:39:54,2021-05-27T12:50:20,144,Käpyläntie,231,Siltavoudintie,2634,620
2021-05-27T12:39:51,2021-05-27T12:52:46,120,Mäkelänkatu,017,Varsapuistikko,2191,771
2021-05-27T12:39:49,2021-05-27T17:33:11,061,Länsisatamankatu,061,Länsisatamankatu,8478,17596
2021-05-27T12:39:35,2021-05-27T12:45:10,127,Teurastamo,122,Lintulahdenkatu,812,331
2021-05-27T12:39:31,2021-05-27T12:42:59,553,Metsänneidonpolku,539,"Aalto-yliopisto (M), Tietotie",941,204
2021-05-27T12:39:25,2021-05-27T12:52:37,069,Kalevankatu,005,Sepänkatu,1968,783
2021-05-27T12:39:25,2021-05-27T12:43:38,290,Vallilan varikko,137,Arabian kauppakeskus,965,249
2021-05-27T12:39:11,2021-05-27T12:41:47,559,Pohjankulma,557,Louhentori,483,149
2021-05-27T12:39:10,2021-05-27T12:41:54,026,Kamppi (M),033,Kauppakorkeakoulu,459,159
2021-05-27T12:39:05,2021-05-27T12:42:15,527,Otsolahti,519,Tapionaukio,782,185
2021-05-27T12:39:01,2021-05-27T12:45:24,094,Laajalahden aukio,098,Ulvilantie,892,379
2021-05-27T12:39:00,2021-05-27T15:13:48,020,Kaisaniemenpuisto,020,Kaisaniemenpuisto,6,9284
2021-05-27T12:39:00,2021-05-27T12:51:21,216,Jännetie,731,Leppävaarankäytävä,2674,739
2021-05-27T21:24:52,2021-05-27T21:36:43,294,Postipuisto,135,Velodrominrinne,2713,665
2021-05-27T21:24:46,2021-05-27T21:37:02,076,Olympiastadion,206,Ruskeasuon varikko,3283,734
2021-05-27T21:24:46,2021-05-27T21:30:54,041,Ympyrätalo,046,Diakoniapuisto,873,362
2021-05-27T21:24:42,2021-05-27T21:34:44,018,Porthania,076,Olympiastadion,2597,597
2021-05-27T21:24:36,2021-05-27T21:28:28,541,"Aalto-yliopisto (M), Korkeakouluaukio",547,Jämeräntaival,702,231
2021-05-27T21:24:30,2021-05-27T21:31:13,596,Toppelundinportti,593,Toppelundintie,716,402
2021-05-27T21:24:30,2021-05-27T21:35:10,251,Laajasalon ostoskeskus,260,Herttoniemi (M),2227,635
2021-05-27T21:24:17,2021-05-27T21:31:06,007,Designmuseo,027,Eerikinkatu,876,404
2021-05-27T21:24:11,2021-05-27T21:32:32,044,Sörnäinen (M),121,Vilhonvuorenkatu,1997,497
2021-05-27T21:24:11,2021-05-27T21:46:18,733,Läkkitori,098,Ulvilantie,4616,1324
2021-05-27T21:24:05,2021-05-27T21:34:15,082,Töölöntulli,203,Opastinsilta,1913,605
2021-05-27T21:24:04,2021-05-27T21:28:36,541,"Aalto-yliopisto (M), Korkeakouluaukio",547,Jämeräntaival,692,267
2021-05-27T21:23:58,2021-05-27T21:34:12,103,Vihdintie,094,Laajalahden aukio,2113,610
2021-05-27T21:23:56,2021-05-27T21:42:35,056,Luoteisväylä,518,Tuulimäki,3734,1117
2021-05-27T21:23:53,2021-05-27T21:31:58,114,Ratapihantie,118,Fleminginkatu,1161,481
2021-05-27T21:23:45,2021-05-27T21:32:09,208,Valimotie,212,Tunnelitie,1774,500
2021-05-27T21:23:44,2021-05-27T21:45:31,075,Korjaamo,057,Lauttasaaren ostoskeskus,5736,1306
2021-05-27T21:23:34,2021-05-27T21:33:35,053,Heikkiläntie,029,Baana,2466,597
2021-05-27T21:23:29,2021-05-27T21:23:53,251,Laajasalon ostoskeskus,251,Laajasalon ostoskeskus,0,19
2021-05-27T21:23:28,2021-05-27T21:45:31,733,Läkkitori,098,Ulvilantie,4631,1319
2021-05-27T21:23:24,2021-05-27T21:32:52,148,Juhana Herttuan tie,135,Velodrominrinne,3274,567
2021-05-27T21:23:12,2021-05-27T21:38:31,056,Luoteisväylä,057,Lauttasaaren ostoskeskus,2871,916
2021-05-27T21:23:12,2021-05-27T21:33:13,251,Laajasalon ostoskeskus,260,Herttoniemi (M),2248,596
2021-05-27T21:23:00,2021-05-27T21:42:42,268,Porolahden koulu,122,Lintulahdenkatu,5699,1179
2021-05-27T21:22:58,2021-05-27T21:49:58,026,Kamppi (M),030,Itämerentori,1649,1569
2021-05-27T21:22:43,2021-05-27T21:25:07,052,Heikkilänaukio,053,Heikkiläntie,471,140
2021-05-27T21:22:43,2021-05-27T21:44:00,063,Jätkäsaarenlaituri,063,Jätkäsaarenlaituri,1478,1234
2021-05-27T21:22:39,2021-05-27T21:48:52,549,Maarinranta,701,Gallen-Kallelan tie,4282,1569
2021-05-27T21:22:31,2021-05-27T21:29:50,260,Herttoniemi (M),255,Laivalahden puistotie,855,435
2021-05-27T21:22:25,2021-05-27T21:45:29,008,Vanha kirkkopuisto,056,Luoteisväylä,5082,1382
2021-05-27T21:22:22,2021-05-27T21:28:07,529,Keilaniemi (M),527,Otsolahti,1290,340
2021-05-27T21:22:17,2021-05-27T21:27:55,022,Rautatientori / länsi,069,Kalevankatu,857,335
2021-05-27T21:22:13,2021-05-27T21:33:48,045,Brahen kenttä,109,Hertanmäenkatu,2793,691
2021-05-27T21:22:11,2021-05-27T21:24:25,541,"Aalto-yliopisto (M), Korkeakouluaukio",545,Sähkömies,550,132
2021-05-27T21:22:10,2021-05-27T21:27:00,259,Petter Wetterin tie,255,Laivalahden puistotie,616,282
2021-05-27T21:22:04,2021-05-27T21:29:14,019,Rautatientori / itä,041,Ympyrätalo,1689,429
2021-05-27T21:21:57,2021-05-27T21:33:06,755,Kutsuntatie,215,Pitäjänmäen asema,3073,663
2021-05-27T21:21:41,2021-05-27T21:31:41,115,Venttiilikuja,120,Mäkelänkatu,1525,595
2021-05-27T21:21:40,2021-05-27T21:32:30,284,Myllypuro (M),286,Mamsellimyllynkatu,1488,645
2021-05-27T21:21:34,2021-05-27T21:40:03,090,Paciuksenkaari,100,Teljäntie,2842,1105
2021-05-27T21:21:34,2021-05-27T21:40:03,030,Itämerentori,030,Itämerentori,2997,1105
2021-05-27T21:21:34,2021-05-27T21:34:06,150,Töölönlahden puisto,115,Venttiilikuja,2983,747
2021-05-27T21:21:33,2021-05-27T21:40:00,090,Paciuksenkaari,100,Teljäntie,2854,1101
2021-05-27T21:21:21,2021-05-27T21:24:58,900,Orionintie,573,Urheilupuisto (M),841,215
2021-05-27T21:21:05,2021-05-27T21:38:10,078,Messeniuksenkatu,064,Tyynenmerenkatu,3586,1020
2021-05-27T21:20:59,2021-05-27T21:28:14,092,Saunalahdentie,090,Paciuksenkaari,1668,431
2021-05-27T21:20:56,2021-05-27T21:24:19,019,Rautatientori / itä,017,Varsapuistikko,608,203
2021-05-27T21:20:50,2021-05-27T21:25:13,084,Paciuksenkatu,082,Töölöntulli,710,259
2021-05-27T21:20:41,2021-05-27T21:30:12,080,Jäähalli,072,Eteläinen Hesperiankatu,1645,567
2021-05-27T21:20:35,2021-05-27T21:28:05,525,Mäntyviita,571,Tapiolan urheilupuisto,1869,448
2021-05-27T21:20:34,2021-05-27T21:36:30,082,Töölöntulli,137,Arabian kauppakeskus,4069,954
2021-05-27T21:20:32,2021-05-27T21:40:24,117,Brahen puistikko,060,Kaapelitehdas,4798,1187
2021-05-27T21:20:29,2021-05-27T21:37:13,051,Itälahdenkatu,033,Kauppakorkeakoulu,3773,998
2021-05-27T21:20:21,2021-05-27T21:33:39,519,Tapionaukio,543,Otaranta,2274,793
2021-05-27T21:20:19,2021-05-27T21:34:06,519,Tapionaukio,543,Otaranta,2311,821
2021-05-27T21:20:18,2021-05-27T21:28:13,029,Baana,011,Unioninkatu,1835,472
2021-05-27T21:20:09,2021-05-27T21:40:13,086,Kuusitie,210,Pajamäki,5178,1202
2021-05-27T21:20:04,2021-05-27T21:37:05,245,Kulosaari (M),116,Linnanmäki,4234,1020
2021-05-27T21:19:59,2021-05-27T21:38:20,069,Kalevankatu,073,Kesäkatu,4355,1097
2021-05-27T21:19:58,2021-05-27T21:38:54,069,Kalevankatu,073,Kesäkatu,4371,1131
2021-05-27T21:19:58,2021-05-27T21:21:29,551,Tietäjä,553,Metsänneidonpolku,345,86
2021-05-27T21:19:57,2021-05-27T21:30:28,080,Jäähalli,072,Eteläinen Hesperiankatu,1698,627
2021-05-27T21:19:54,2021-05-27T21:37:11,245,Kulosaari (M),116,Linnanmäki,4002,1033
2021-05-27T21:19:53,2021-05-27T21:27:32,233,Kirkkoherrantie,227,Kylävoudintie,1556,456
2021-05-27T21:19:39,2021-05-27T21:39:51,125,Arielinkatu,147,Käpylän asema,5484,1197
2021-05-27T21:19:36,2021-05-27T21:29:19,030,Itämerentori,053,Heikkiläntie,1939,579
2021-05-27T21:19:28,2021-05-27T21:40:16,121,Vilhonvuorenkatu,004,Viiskulma,4887,1246
2021-05-27T21:19:24,2021-05-27T21:22:27,635,Kuunkatu,637,Ruomelantie,345,179
2021-05-27T21:19:16,2021-05-27T21:24:43,019,Rautatientori / itä,041,Ympyrätalo,1441,323
2021-05-27T21:19:15,2021-05-27T21:23:44,126,Kalasatama (M),122,Lintulahdenkatu,1053,264
2021-05-27T21:19:15,2021-05-27T21:42:05,029,Baana,002,Laivasillankatu,3906,1365
2021-05-27T21:19:15,2021-05-27T21:35:44,245,Kulosaari (M),269,Peukaloisentie,3459,985
2021-05-27T21:19:12,2021-05-27T21:22:56,104,Kriikunakuja,089,Tilkanvierto,1155,222
2021-05-27T21:19:04,2021-05-27T21:43:34,565,Mankkaanaukio,609,Sepetlahdentie,5784,1465
2021-05-27T21:19:03,2021-05-27T21:21:40,245,Kulosaari (M),246,Tupasaarentie,644,156
2021-05-27T21:18:58,2021-05-27T21:27:49,012,Kanavaranta,022,Rautatientori / länsi,1402,520
2021-05-27T21:18:58,2021-05-27T21:24:23,609,Sepetlahdentie,603,Matinlahdenranta,1131,321
2021-05-27T21:18:42,2021-05-27T21:19:05,030,Itämerentori,030,Itämerentori,0,18
2021-05-27T21:18:30,2021-05-27T21:27:26,208,Valimotie,105,Tilkantori,1956,533
2021-05-27T21:18:29,2021-05-27T21:27:26,147,Käpylän asema,229,Käskynhaltijantie,1903,532
2021-05-27T21:18:27,2021-05-27T21:23:49,123,Näkinsilta,121,Vilhonvuorenkatu,1061,318
2021-05-27T21:18:24,2021-05-27T21:22:25,027,Eerikinkatu,007,Designmuseo,808,236
2021-05-27T21:18:19,2021-05-27T21:36:56,101,Munkkivuoren ostoskeskus,531,Keilaranta,4731,1113
2021-05-27T21:18:03,2021-05-27T21:49:40,080,Jäähalli,239,Viikin tiedepuisto,8338,1894
2021-05-27T21:17:58,2021-05-27T21:32:12,069,Kalevankatu,074,Rajasaarentie,3144,851
2021-05-27T21:17:56,2021-05-27T21:43:47,028,Lastenlehto,012,Kanavaranta,3122,1548
2021-05-27T21:17:47,2021-05-27T21:26:30,080,Jäähalli,115,Venttiilikuja,1478,518
2021-05-27T21:17:44,2021-05-27T21:30:31,252,Humalniementie,247,Haakoninlahdenkatu,3098,765
2021-05-27T21:17:39,2021-05-27T21:26:06,134,Haukilahdenkatu,118,Fleminginkatu,1677,507
2021-05-27T21:17:27,2021-05-27T21:40:32,128,Päijänteentie,109,Hertanmäenkatu,3269,1381
2021-05-27T21:17:25,2021-05-27T21:20:06,141,Intiankatu,137,Arabian kauppakeskus,620,160
2021-05-27T21:17:21,2021-05-27T21:30:06,278,Puotilantie,282,Karhulantie,2446,760
